record_id,date,time,weather,season,clean_message,source_file
0,2010-02-12,09:34,Light snow,Winter,"Hi, I heard about your mushrooms from a friend and wanted to try. Can I pick up a small mixed box tomorrow morning in Kreuzberg, something for two people, vegetarian. I don't eat dairy, please keep that in mind. Let me know price and where exactly to come.",mushroom_Orders_v1.rtf
1,2010-03-27,18:09,Cold rain,Spring,"Hello, do you also deliver inside Berlin or only pickup. I'd like some fresh mushrooms for Sunday lunch, maybe 500g of whatever is good now. Can you tell me what you have and until what time I can collect today or tomorrow.",mushroom_Orders_v1.rtf
2,2010-05-08,07:51,Mild sun,Spring,"Order via contact form: ""Mushroom Mood Today – feeling tired, need something grounding."" Customer asks for enough for 3 people and no onions. Please confirm if available today and send payment details; customer mentions they can come by bike around 11–12.",mushroom_Orders_v1.rtf
3,2010-09-15,12:43,Overcast,Autumn,"Hi, quick question: do you already have forest mushrooms from around Berlin or still only cultivated ones. I'd like one box ""for a cozy dinner with my partner"", your choice. I can pick up on Friday after work, is 18:30 okay for you.",mushroom_Orders_v1.rtf
4,2010-11-03,20:17,Drizzle,Autumn,"SMS: ""Hey, it's Lukas from Neukölln, you sold me that mix last month."" He asks if there is any chance for a small evening delivery because he finishes late shift at 22:00. You reply that today is not possible, suggest Saturday morning pickup and ask him to text quantity by Friday.",mushroom_Orders_v1.rtf
5,2011-01-22,10:05,"Freezing, clear sky",Winter,"Email subject: ""Need something warming?"" Customer writes they are low energy and mostly plant-based, and ask what you recommend from what you have right now. They say budget is around 20 EUR and ask if you can pack it in two separate paper bags. Please answer with what's realistic from current stock.",mushroom_Orders_v1.rtf
6,2011-04-02,16:32,Windy,Spring,"Hi, I found your card at a yoga studio. Are you doing regular weekly boxes or only one-time orders. I'd like to try a small box every Sunday for April, pickup in Friedrichshain. Can we test next week and then decide on a rhythm.",mushroom_Orders_v1.rtf
7,2011-07-19,08:47,"Humid, light clouds",Summer,"Customer via email: ""Today I feel a bit anxious, not hungry but know I should eat."" They ask for something very light, gluten-free, for one person. Please see if you have any gentle options ready from today's harvest and reply with pickup slot before 13:00.",mushroom_Orders_v1.rtf
8,2011-09-28,19:11,Cool breeze,Autumn,"Short message: ""Hi, same as last time but for 5 people, friends visiting from Hamburg."" They ask if wild mushrooms are already in season and if you can add some herbs that help with digestion. Customer can pick up at your place tomorrow between 17–18 if you confirm.",mushroom_Orders_v1.rtf
9,2011-12-05,14:56,"Grey, wet snow",Winter,"Customer asks if you will be open the week between Christmas and New Year. They had one box in October and say it helped them feel calmer in the evenings. They want to order again for two adults, no alcohol-based ingredients, and ask if you can prepare something they can store for a few days.",mushroom_Orders_v1.rtf
10,2012-02-03,07:59,Heavy frost,Winter,"Email: ""Hi Mushroom House, are you still working in winter?"" Customer asks what you can currently source locally and if anything is good for someone with sensitive stomach. They mention they live in Prenzlauer Berg and can only pick up before 9:30 on weekdays. Please confirm if tomorrow is possible and what amount.",mushroom_Orders_v1.rtf
11,2012-05-16,13:22,Warm sun,Spring,"Contact form: ""Mood today: a bit scattered, need focus for work."" They ask for a small portion for one, vegetarian, and say they like more earthy flavors, not too strong herbs. You need to reply with available varieties today and propose a pickup window after 17:00.",mushroom_Orders_v1.rtf
12,2012-06-30,19:44,"Hot, clear",Summer,"SMS from repeat customer: ""Too hot to eat much, but want something light."" They ask if you have anything that doesn't require long cooking and is okay to eat late at night. You respond with what's left from today's harvest and suggest pickup in the next hour before you close.",mushroom_Orders_v1.rtf
13,2012-09-10,10:27,Light fog,Autumn,"Hi, I met you at Markthalle Neun last weekend and loved your explanation about mood-based food. I'd like to book a small private order for next Sunday, for 3 people, no garlic, we all have early work Monday so nothing too heavy. Please let me know if you're harvesting that day and what the approximate price would be.",mushroom_Orders_v1.rtf
14,2012-11-21,21:03,Cold rain,Autumn,"Customer email: They say they feel low energy before winter and ask for a ""supportive"" mix, mentioning they are lactose-intolerant and don't eat meat. They ask if you can label the bags with simple notes like ""evening"" or ""lunch suitable"". Confirm if your schedule allows pickup on Friday night after 20:00.",mushroom_Orders_v1.rtf
15,2013-01-09,08:18,Light snow,Winter,"New client writes that a therapist recommended your service. They ask how to describe their mood and body needs so you can choose mushrooms and herbs. They want a trial for one week, three small portions, and ask if bank transfer is okay.",mushroom_Orders_v1.rtf
16,2013-04-25,15:01,Sunny intervals,Spring,"Email: ""Hi, I want to surprise my partner with something from the forest."" They mention vegetarian, no soy, and say they both feel a bit run down from work. You should answer what's growing right now around Berlin and whether you can prepare something for Saturday afternoon pickup.",mushroom_Orders_v1.rtf
17,2013-07-03,11:39,"Warm, overcast",Summer,"Short note from previous customer: ""Can you repeat the mix from last July, but double quantity."" They add that one guest is allergic to nuts, so please avoid any nut-based additions. You reply to confirm you remember the order and ask if they need it Friday or Saturday.",mushroom_Orders_v1.rtf
18,2013-09-19,17:54,"Cool, light drizzle",Autumn,"Customer sends: ""Feeling very grounded today, want something to match that, for two."" They live in Kreuzberg and ask if you can meet near Görlitzer Park on your way back from the forest. Ask them to confirm time window and whether they prefer cash or transfer.",mushroom_Orders_v1.rtf
19,2013-12-30,10:42,Grey sky,Winter,"Last-minute order: ""Anything left for New Year's Eve, not too heavy, for 4 people."" They mention two guests don't drink alcohol and one is vegan. You answer that supplies are limited and propose a reduced portion for 3–4, pickup before 14:00 on the 31st.",mushroom_Orders_v1.rtf
20,2014-02-11,09:03,Overcast,Winter,"Subject: ""Weekly box idea?"" Customer who ordered twice last year proposes a regular Monday morning pickup on their way to the office. They ask if you can keep it around 15 EUR each week and adapt to how they report feeling. Please reply with what is feasible for you in February and March.",mushroom_Orders_v1.rtf
21,2014-04-06,18:27,Mild rain,Spring,"Cafe owner from Neukölln writes: they tasted your mushrooms at a friend's dinner and wonder if you can supply a small brunch place. They ask what a weekly standing order for weekends could look like, maybe 3–4 kg total. You should respond with rough seasonal availability and minimum order amounts.",mushroom_Orders_v1.rtf
22,2014-06-14,07:46,"Clear, already warm",Summer,"Quick SMS: ""We're the couple from last Sunday, can we get the same mix, but 1.5 kg this time."" They say friends are visiting and one guest doesn't like very strong flavors. You confirm you can do 1 kg of the same style and 0.5 kg milder, pickup at 10:30.",mushroom_Orders_v1.rtf
23,2014-09-02,16:13,Cool sun,Autumn,"Restaurant inquiry: ""Small bistro in Friedrichshain looking for seasonal mushrooms 2x per week."" They ask if you can deliver early mornings before 8:00 and if invoices are possible monthly. Ask them what volume they expect and whether they need fixed varieties or are open to a changing selection.",mushroom_Orders_v1.rtf
24,2014-10-21,20:51,"Windy, cold",Autumn,"Existing private customer writes that they've been ordering from you since 2012 and now want to place a bigger order for a family gathering. They ask for enough for 8–10 people, two vegan, one with celiac. You reply that you can prepare separate labeled bags and suggest pickup the evening before due to next-day forest schedule.",mushroom_Orders_v1.rtf
