Table 1
Year;Month;Rows;B2B account;Private customer;Unclear / unidentifiable;
2014;January;75;7;66;2;
2014;February;80;13;63;4;
2014;March;105;13;91;1;
2014;April;120;25;90;5;
2014;May;130;33;94;3;
2014;June;125;31;93;1;
2014;July;115;25;81;9;
2014;August;125;35;88;2;
2014;September;190;65;120;5;
2014;October;235;72;152;11;
2014;November;195;71;118;6;
2014;December;355;149;193;13;
2025;January;390;208;175;7;
2025;February;410;231;173;6;
2025;March;430;270;153;7;
2025;April;440;266;161;13;
2025;May;455;270;177;8;
2025;June;460;270;178;12;
2025;July;470;291;161;18;
2025;August;480;298;172;10;
2025;September;525;326;187;12;
2025;October;560;372;175;13;
2025;November;520;345;157;18;
2025;December;460;285;164;11;
