order_id;year;timestamp;month;channel;customer_type;customer_or_account_label;account_segment;raw_incoming_message;interpretability;mood_tags;bodily_need_tags;dietary_constraints;requested_quantity;requested_products;season_context;inventory_reference;inventory_pressure;fulfillment_status;substitution_required;pickup_delivery;route_zone;payment_terms;repeat_customer;receipt_base;thomas_internal_note;
MH-2014-01-0001;2014;2014-01-18 18:12;January;email;Private customer;Hanna W.;event dinner;Hello, do you have dried chanterelle available? I am cooking for 2.0 kg. Can I come by bike?;clear;dark season, sleep disruption;restorative;vegetarian;2.0 kg;wood ear, winter support blend;Winter;Brandenburg collector network: oyster mushroom, dried chanterelle, wood ear;low;fulfilled;no;evening pickup;pickup at workshop;transfer within 3 days;unknown;Winter dried mushroom-miso broth;Thomas handling replies manually;
MH-2014-01-0002;2014;2014-01-05 12:54;January;phone note;Private customer;Jonas K.;mood box;Hi Thomas, can I get medium box for tomorrow evening? I feel low energy and need something that does not sit too heavy. gluten-free;mostly clear;quiet, need warmth;light digestion;gluten-free;medium box;wood ear, dried porcini, winter support blend;Winter;Bavarian dried stock: oyster mushroom, winter support blend, dried porcini;medium;substituted;yes;delivery;Köpenick;bank transfer;no;Winter dried mushroom-miso broth;"do not overpromise fixed varieties; explain substitution plainly";
MH-2014-01-0003;2014;2014-01-18 18:01;January;webshop note;Private customer;Ania B.;event dinner;Hey, same direction as last time if possible, but more simple. Quantity: medium box.;mostly clear;quiet, sleep disruption;low-stimulation;no garlic;medium box;oyster mushroom, dried porcini;Winter;Brandenburg collector network: winter support blend, wood ear, dried chanterelle;medium;substituted;yes;delivery;Prenzlauer Berg;bank transfer;unknown;Winter dried mushroom-miso broth;"new B2B rhythm still fragile; offer equivalent texture rather than same species";
MH-2014-01-0004;2014;2014-01-11 21:54;January;contact form;Private customer;Michael K.;weekly private rhythm;Hello, do you have oyster mushroom available? I am cooking for medium box. Can I come by bike?;mostly clear;dark season, sleep disruption;warmth without heaviness;sensitive stomach;medium box;winter support blend, dried porcini;Winter;limited early B2B allocation: dried porcini, oyster mushroom, dried chanterelle;low;fulfilled;no;evening pickup;Kreuzberg;bank transfer;yes;Winter dried mushroom-miso broth;route planning not yet stable;
MH-2014-01-0005;2014;2014-01-02 09:46;January;email;Private customer;Marta S.;event dinner;Short SMS: need a small box box, feeling dark season, none stated. Can pick up in Friedrichshain.;mostly clear;dark season, quiet;restorative;none stated;small box;winter support blend;Winter;limited early B2B allocation: oyster mushroom, dried porcini, wood ear;medium;fulfilled;no;evening pickup;Prenzlauer Berg;transfer within 3 days;yes;Winter dried mushroom-miso broth;Thomas handling replies manually;
MH-2014-01-0006;2014;2014-01-30 08:47;January;webshop note;Private customer;Stefan W.;gift order;Web note: Mushroom Mood Today — feeling sleep disruption. Please choose from what is actually good this week. Need same as last time.;clear;sleep disruption, quiet;easy evening food;no onions;same as last time;wood ear;Winter;limited early B2B allocation: dried porcini, winter support blend, dried chanterelle;high;fulfilled;no;delivery;Charlottenburg;paid via webshop;unknown;Winter dried mushroom-miso broth;forecasting still mostly by instinct;
MH-2014-01-0007;2014;2014-01-04 12:08;January;contact form;Private customer;Clara M.;weekly private rhythm;Hello, do you have dried porcini available? I am cooking for small box. Please no complicated prep.;needs follow-up;quiet, dark season;light digestion;nut allergy;small box;oyster mushroom, dried porcini, dried chanterelle;Winter;Brandenburg collector network: dried porcini, dried chanterelle, wood ear;medium;fulfilled;no;evening pickup;Wedding;cash on pickup;yes;Winter dried mushroom-miso broth;forecasting still mostly by instinct;
MH-2014-01-0008;2014;2014-01-21 18:28;January;market follow-up;Private customer;No name / webshop;event dinner;Hey, same direction as last time if possible, but more grounding. Quantity: same as last time.;clear;low energy, dark season;easy evening food;vegan;same as last time;oyster mushroom, wood ear;Winter;limited early B2B allocation: wood ear, dried chanterelle, oyster mushroom;medium;rescheduled;no;pickup;Köpenick;cash on pickup;unknown;Winter dried mushroom-miso broth;Thomas handling replies manually;
MH-2014-01-0009;2014;2014-01-12 13:25;January;email;Private customer;unknown sender;weekly private rhythm;Web note: Mushroom Mood Today — feeling sleep disruption. Please choose from what is actually good this week. Need small box.;clear;need warmth, low energy;low-stimulation;lactose-free;small box;wood ear;Winter;Bavarian dried stock: oyster mushroom, dried porcini, wood ear;high;substituted;yes;delivery;Kreuzberg;transfer within 3 days;unknown;Winter dried mushroom-miso broth;"forecasting still mostly by instinct; offer equivalent texture rather than same species";
MH-2014-01-0010;2014;2014-01-06 16:16;January;phone note;B2B account;Bistro Friedrichshain;catering/yoga retreat;Hello Thomas, we are testing a weekend special and would like 6.5 kg mixed seasonal mushrooms. Can you deliver before service and invoice monthly?;mostly clear;sleep disruption, quiet;grounding;nut allergy;6.5 kg;dried porcini, dried chanterelle, wood ear;Winter;Bavarian dried stock: dried porcini, dried chanterelle, oyster mushroom;medium;fulfilled;no;delivery;Neukölln;bank transfer after delivery;yes;Winter dried mushroom-miso broth;Thomas handling replies manually;
MH-2014-01-0011;2014;2014-01-07 22:41;January;contact form;Private customer;Eva L.;weekly private rhythm;Web note: Mushroom Mood Today — feeling quiet. Please choose from what is actually good this week. Need medium box.;clear;need warmth, quiet;low-stimulation;mostly plant-based;medium box;wood ear, winter support blend;Winter;small German farm supply: winter support blend, oyster mushroom, wood ear;medium;fulfilled;no;market handoff;Prenzlauer Berg;cash on pickup;yes;Winter dried mushroom-miso broth;new B2B rhythm still fragile;
